date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,cum_titles_home,cum_runner_up_home,cum_third_home,cum_titles_away,cum_runner_up_away,cum_third_away,tournament_score,elo_home,elo_away,elo_diff,home_last5_wins,home_last5_losses,home_last5_draws,away_last5_wins,away_last5_losses,away_last5_draws,h2h_home_wins,h2h_away_wins,h2h_draw,h2h_diff,result
1917-10-03,Argentina,Brazil,4.0,2.0,Copa América,Montevideo,Uruguay,True,1917,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1496.940729289847,1488.514280170913,8.426449118933988,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0
1917-10-07,Denmark,Norway,12.0,0.0,Friendly,Copenhagen,Denmark,False,1917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1556.6978818669354,1339.866622184715,216.83125968222043,5.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,5.0,2.0
1917-10-07,Uruguay,Brazil,4.0,0.0,Copa América,Montevideo,Uruguay,False,1917,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1510.6394882183645,1465.1734432887824,45.46604492958204,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
1917-10-12,Brazil,Chile,5.0,0.0,Copa América,Montevideo,Uruguay,True,1917,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1439.696693285108,1503.9055023208755,-64.20880903576744,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
1917-10-16,Uruguay,Brazil,3.0,1.0,Friendly,Montevideo,Uruguay,False,1917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1536.1162382220389,1479.0300195265177,57.08621869552121,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0
1918-05-26,Sweden,Norway,2.0,0.0,Friendly,Stockholm,Sweden,False,1918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1592.1671642824435,1330.6116626221121,261.5555016603314,3.0,0.0,2.0,0.0,4.0,1.0,6.0,0.0,4.0,6.0,2.0
1918-06-16,Norway,Denmark,3.0,1.0,Friendly,Kristiania,Norway,False,1918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1326.7374718905407,1565.9528414295382,-239.2153695389975,0.0,4.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,-6.0,2.0
1918-09-15,Norway,Sweden,2.0,1.0,Friendly,Kristiania,Norway,False,1918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1348.515443068423,1596.041355014015,-247.52591194559182,1.0,3.0,1.0,3.0,0.0,2.0,0.0,6.0,4.0,-6.0,2.0
1918-10-06,Denmark,Norway,4.0,0.0,Friendly,Copenhagen,Denmark,False,1918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1544.1748702516559,1363.222376581945,180.95249366971098,4.0,1.0,0.0,2.0,3.0,0.0,6.0,1.0,0.0,5.0,2.0
1919-05-11,Brazil,Chile,6.0,0.0,Copa América,Rio de Janeiro,Brazil,False,1919,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1469.284491435582,1464.5721760794659,4.712315356116051,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
