,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
40920,2017-09-01,Morocco,Mali,6.0,0.0,FIFA World Cup qualification,Rabat,Morocco,False
40923,2017-09-01,Norway,Azerbaijan,2.0,0.0,FIFA World Cup qualification,Oslo,Norway,False
40929,2017-09-01,United States,Costa Rica,0.0,2.0,FIFA World Cup qualification,Harrison,United States,False
40941,2017-09-02,Spain,Italy,3.0,0.0,FIFA World Cup qualification,Madrid,Spain,False
40949,2017-09-03,France,Luxembourg,0.0,0.0,FIFA World Cup qualification,Toulouse,France,False
40951,2017-09-03,Greece,Belgium,1.0,2.0,FIFA World Cup qualification,Piraeus,Greece,False
40952,2017-09-03,Hungary,Portugal,0.0,1.0,FIFA World Cup qualification,Budapest,Hungary,False
40953,2017-09-03,Latvia,Switzerland,0.0,3.0,FIFA World Cup qualification,Riga,Latvia,False
40958,2017-09-04,England,Slovakia,2.0,1.0,FIFA World Cup qualification,London,England,False
40959,2017-09-04,Germany,Norway,6.0,0.0,FIFA World Cup qualification,Stuttgart,Germany,False
40968,2017-09-05,Argentina,Venezuela,1.0,1.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
40976,2017-09-05,Colombia,Brazil,1.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False
40981,2017-09-05,Egypt,Uganda,1.0,0.0,FIFA World Cup qualification,Alexandria,Egypt,False
40982,2017-09-05,Honduras,United States,1.0,1.0,FIFA World Cup qualification,San Pedro Sula,Honduras,False
40992,2017-09-05,Liechtenstein,Spain,0.0,8.0,FIFA World Cup qualification,Vaduz,Liechtenstein,False
40996,2017-09-05,Mali,Morocco,0.0,0.0,FIFA World Cup qualification,Bamako,Mali,False
41012,2017-10-05,Argentina,Peru,0.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
41018,2017-10-05,Colombia,Paraguay,1.0,2.0,FIFA World Cup qualification,Barranquilla,Colombia,False
41019,2017-10-05,England,Slovenia,1.0,0.0,FIFA World Cup qualification,London,England,False
41028,2017-10-05,San Marino,Norway,0.0,8.0,FIFA World Cup qualification,Serravalle,San Marino,False
41044,2017-10-06,Spain,Albania,3.0,0.0,FIFA World Cup qualification,Alicante,Spain,False
41046,2017-10-06,United States,Panama,4.0,0.0,FIFA World Cup qualification,Orlando,United States,False
41047,2017-10-07,Andorra,Portugal,0.0,2.0,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
41049,2017-10-07,Bosnia and Herzegovina,Belgium,3.0,4.0,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
41050,2017-10-07,Bulgaria,France,0.0,1.0,FIFA World Cup qualification,Sofia,Bulgaria,False
41060,2017-10-07,Morocco,Gabon,3.0,0.0,FIFA World Cup qualification,Casablanca,Morocco,False
41066,2017-10-07,Switzerland,Hungary,5.0,2.0,FIFA World Cup qualification,Basel,Switzerland,False
41071,2017-10-08,Egypt,Congo,2.0,1.0,FIFA World Cup qualification,Alexandria,Egypt,False
41075,2017-10-08,Lithuania,England,0.0,1.0,FIFA World Cup qualification,Vilnius,Lithuania,False
41076,2017-10-08,Norway,Northern Ireland,1.0,0.0,FIFA World Cup qualification,Oslo,Norway,False
41085,2017-10-09,Israel,Spain,0.0,1.0,FIFA World Cup qualification,Jerusalem,Israel,False
41093,2017-10-10,Belgium,Cyprus,4.0,0.0,FIFA World Cup qualification,Brussels,Belgium,False
41097,2017-10-10,Ecuador,Argentina,1.0,3.0,FIFA World Cup qualification,Quito,Ecuador,False
41099,2017-10-10,France,Belarus,2.0,1.0,FIFA World Cup qualification,Saint-Denis,France,False
41105,2017-10-10,South Korea,Morocco,1.0,3.0,Friendly,Biel,Switzerland,True
41114,2017-10-10,Peru,Colombia,1.0,1.0,FIFA World Cup qualification,Lima,Peru,False
41115,2017-10-10,Portugal,Switzerland,2.0,0.0,FIFA World Cup qualification,Lisbon,Portugal,False
41121,2017-10-10,Trinidad and Tobago,United States,2.0,1.0,FIFA World Cup qualification,Couva,Trinidad and Tobago,False
41139,2017-11-09,Northern Ireland,Switzerland,0.0,1.0,FIFA World Cup qualification,Belfast,Northern Ireland,False
41144,2017-11-10,Belgium,Mexico,3.0,3.0,Friendly,Brussels,Belgium,False
41146,2017-11-10,England,Germany,0.0,0.0,Friendly,London,England,False
41147,2017-11-10,France,Wales,2.0,0.0,Friendly,Saint-Denis,France,False
41152,2017-11-10,South Korea,Colombia,2.0,1.0,Friendly,Suwon,South Korea,False
